config_id,ejecucion,seed,costo,factible,tiempo,iteracion_mejor,convergencia_final,tam_poblacion,w,c1,c2,p_f,bha_ratio,h,l,t,b,g1_tau,g2_sigma,g3_h_vs_b,g4_diseno,g5_h_min,g6_deflexion,g7_pandeo
3,3,1303,1.7980219338730485,True,0.6867272853851318,199,1.7980219338730485,50,0.4,1.2,1.8,0.45,0.2,0.22607438620585135,3.2282473103475366,8.61850368003776,0.22618617908851746,-1.7748469025664235,-1.4178033853786474,-0.00011179288266610632,-3.3669725855683206,-0.10107438620585135,-0.23483953871854907,-1725.2727537451683
3,4,1304,1.8349770401979866,True,0.6836888790130615,199,1.8349770401979866,50,0.4,1.2,1.8,0.45,0.2,0.23449416345412477,3.1877369426877653,8.464313150378896,0.2345049535487682,-172.34092505437366,-1.8086708719019953,-1.0790094643442494e-05,-3.3403086854033486,-0.10949416345412477,-0.2345635686465176,-2503.997719499048
3,5,1305,1.725775618608964,True,0.6740071773529053,199,1.725775618608964,50,0.4,1.2,1.8,0.45,0.2,0.20557211913977516,3.4751719045897302,9.033559982075733,0.2058697538019652,-0.33835029749388923,-0.07796021844842471,-0.00029763466219004386,-3.421084785243621,-0.08057211913977516,-0.2355354558594983,-10.926952502155473
3,6,1306,1.8748163881832691,True,0.6657516956329346,199,1.8748163881832691,50,0.4,1.2,1.8,0.45,0.2,0.24693752556105011,3.0343050428632505,8.242340125163148,0.24729442923334244,-58.25880258880534,-0.4224354244834103,-0.00035690367229232467,-3.310209894166289,-0.12193752556105011,-0.2341471202666342,-3791.086014732209
3,7,1307,2.5214365307219544,True,0.6826708316802979,199,2.5214365307219544,50,0.4,1.2,1.8,0.45,0.2,0.3285585279723195,2.8061014054022615,6.2115950097834345,0.43541462963219224,-3.172484321112279e-05,8.981951395981014e-07,-0.10685610165987275,-2.781484097950008,-0.2035585279723195,-0.22896407179399572,-37286.060984335214
3,8,1308,1.7641442721695473,True,0.6830260753631592,199,1.7641442721695473,50,0.4,1.2,1.8,0.45,0.2,0.21655096914046165,3.3387143436007523,8.807349020473799,0.21658221440403877,-9.1731119115193,-0.27092986462957924,-3.1245263577117655e-05,-3.3924224741121303,-0.09155096914046165,-0.2351640389959747,-882.1818646753309
3,9,1309,1.8315847219198067,True,0.6804013252258301,199,1.8315847219198067,50,0.4,1.2,1.8,0.45,0.2,0.20003015815920572,3.776709247259558,8.631252168443998,0.22550791555462266,-14.70185554425916,-0.0082196228322573,-0.02547775739541694,-3.3195292108450487,-0.07503015815920572,-0.23486121963353565,-1663.661051695305
4,0,1400,2.1731777488219337,True,0.654787540435791,199,2.1731777488219337,50,0.4,1.2,1.8,0.45,0.4,0.23043945046012854,3.7382360865631172,7.337744753665438,0.31202552065776695,-28.581467777603393,-0.4169474002519564,-0.08158607019763842,-3.02533133607452,-0.10543945046012854,-0.23219277788807932,-12092.20457097542
4,1,1401,2.3758973558100127,True,0.656456708908081,199,2.3758973558100127,50,0.4,1.2,1.8,0.45,0.4,0.3957447889739356,2.150679332782393,6.515027066746129,0.39583337577432315,-211.991343008247,-2.4574771372645046,-8.858680038753564e-05,-2.960929003872304,-0.2707447889739356,-0.2299454458669312,-27756.20962027982
4,2,1402,2.325900386752034,True,0.6416206359863281,199,2.325900386752034,50,0.4,1.2,1.8,0.45,0.4,0.3837631151504861,2.160813777532678,6.615869915254096,0.3838290149484956,-0.8333486373721826,-0.16815639417836792,-6.589979800947221e-05,-2.9923315792929364,-0.2587631151504861,-0.2302496216029164,-25144.59211878451
4,3,1403,2.303162071384085,True,0.6665031909942627,199,2.303162071384085,50,0.4,1.2,1.8,0.45,0.4,0.3765626985384442,2.1923766673151732,6.678191103393331,0.3766968024518059,-1.9476706490204378,-0.023307005532842595,-0.00013410391336171612,-3.0077157691598178,-0.2515626985384442,-0.23043383857564143,-23653.515147609767
4,4,1404,2.279043096365212,True,0.6504454612731934,199,2.279043096365212,50,0.4,1.2,1.8,0.45,0.4,0.32278798407277665,3.128300267730111,7.21425298124118,0.32279518647109834,-2411.027740064679,-0.03477051113077323,-7.202398321692893e-06,-3.046901023720952,-0.19778798407277665,-0.23188772759126433,-13780.481056128265
4,5,1405,2.616342364718424,True,0.6657619476318359,199,2.616342364718424,50,0.4,1.2,1.8,0.45,0.4,0.2552468028981806,3.9213488434211956,6.2058197718551815,0.4362308784142134,-0.00023067435176926665,-0.37574030968607985,-0.1809840755160328,-2.6391371608132084,-0.13024680289818058,-0.22894475912731638,-37498.0835707675
4,6,1406,2.1823591054555584,True,0.6550195217132568,174,2.1823591054555584,50,0.4,1.2,1.8,0.45,0.4,0.33941280076639585,2.3703524631378694,7.035544183102508,0.339412825143412,-0.22420449236051354,-0.9916902531622327,-2.4377016127896667e-08,-3.0907079855658632,-0.21441280076639585,-0.23142825289641544,-16567.839279689553
4,7,1407,3.1971741519244654,True,0.6531338691711426,199,3.1971741519244654,50,0.4,1.2,1.8,0.45,0.4,0.5003374235935498,2.0624172524908007,4.942271197294391,0.6877904445661516,-0.180420478738597,-0.00011768212425522506,-0.18745302097260175,-2.3191263042548287,-0.3753374235935498,-0.22356141317667308,-135646.93155107574
4,8,1408,1.802972396110848,True,0.6402747631072998,199,1.802972396110848,50,0.4,1.2,1.8,0.45,0.4,0.22748098908321393,3.212947289812377,8.592043802296404,0.22758332633971973,-2.209301389477332,-1.6663678211043589,-0.00010233725650579673,-3.363289916330239,-0.10248098908321393,-0.23479297688471695,-1852.9014917518007
4,9,1409,2.393922201537274,True,0.6499371528625488,199,2.393922201537274,50,0.4,1.2,1.8,0.45,0.4,0.34674098162000005,2.5086942935981003,6.475191520676584,0.4006992465321035,-3.895000321976113,-1.0002772830121103,-0.053958264912103426,-2.9076963782054888,-0.22174098162000005,-0.22982108954057057,-28850.304803675215
5,0,1500,1.7879546841364835,True,0.6612355709075928,199,1.7879546841364835,50,0.4,1.2,1.8,0.45,0.6,0.22323704230219438,3.262170315907863,8.675154980544695,0.2232420191585356,-12.510191816421866,-1.4605746808192634,-4.976856341210034e-06,-3.374614846274937,-0.09823704230219438,-0.2349385624411868,-1460.531778954597
5,1,1501,2.169477725544046,True,0.6362059116363525,199,2.169477725544046,50,0.4,1.2,1.8,0.45,0.6,0.26135501837342673,3.2166227256463364,7.222142720296633,0.3220899334304257,-0.00018694659956963733,-0.00019814021652564406,-0.06073491505699896,-3.0502383397742387,-0.13635501837342673,-0.23190749326561505,-13667.1008338477
5,2,1502,1.8518748916852659,True,0.64021897315979,199,1.8518748916852659,50,0.4,1.2,1.8,0.45,0.6,0.2272739068416559,3.2909289401488606,8.398210415303238,0.23819672090295757,-2.5318506231997162e-05,1.880252966657281e-07,-0.010922814061301661,-3.318112871783728,-0.10227390684165591,-0.2344411296924182,-2864.07129844922
5,3,1503,3.033796719553151,True,0.6394715309143066,199,3.033796719553151,50,0.4,1.2,1.8,0.45,0.6,0.2891374387374213,3.8787891387023548,5.400895482586532,0.5759406554558573,-2.1907668269705027e-05,-3.406061659916304e-05,-0.28680321671843595,-2.290471830788199,-0.16413743873742132,-0.22580648117712945,-83521.17150148809
5,4,1504,2.002466432364836,True,0.6444711685180664,199,2.002466432364836,50,0.4,1.2,1.8,0.45,0.6,0.27705104797292124,2.797816720064787,7.6912509053001,0.28399804567324227,-0.02347480431672011,-0.0019460831390460953,-0.006946997700321034,-3.2122863779110125,-0.15205104797292124,-0.23301100044722894,-8118.851737989828
5,5,1505,1.7519835114730744,True,0.6425654888153076,199,1.7519835114730744,50,0.4,1.2,1.8,0.45,0.6,0.1886056737440977,3.8806877093655068,9.038154608300964,0.20572200397553847,-0.00048721609891799744,-9.047576700522768,-0.01711633023144077,-3.3860607004470067,-0.0636056737440977,-0.2355471315655818,5.571791916736402e-07
5,6,1506,1.9405169484464946,True,0.6332406997680664,199,1.9405169484464946,50,0.4,1.2,1.8,0.45,0.6,0.2670701619112401,2.8420541090034326,7.930066079992806,0.2671505636384946,-0.805528994254928,-0.02939634806534741,-8.040172725448658e-05,-3.2621967426291176,-0.1420701619112401,-0.2335226418908532,-6012.80738939034
5,7,1507,2.906120284560354,True,0.6529858112335205,199,2.906120284560354,50,0.4,1.2,1.8,0.45,0.6,0.5072294626680989,1.8597001659944155,5.391497268060577,0.577950328296816,-0.09264476381758868,-0.0008292172569781542,-0.07072086562871716,-2.5723465873339735,-0.3822294626680989,-0.22576430877021142,-84332.42418967743
5,8,1508,1.77210676848609,True,0.6342782974243164,199,1.77210676848609,50,0.4,1.2,1.8,0.45,0.6,0.21861814476734692,3.3134115409741427,8.76148703678158,0.2188535884311593,-0.9300469773352233,-0.002462114025547635,-0.00023544366381236803,-3.386254068902169,-0.09361814476734692,-0.23508624673023645,-1076.186310243952
5,9,1509,2.497103584870315,True,0.6320083141326904,199,2.497103584870315,50,0.4,1.2,1.8,0.45,0.6,0.33787149503404235,2.6888137871373035,6.250510417793901,0.4300097621603607,-0.052345612210046966,-7.758790161460638e-06,-0.09213826712631834,-2.8098437263044493,-0.21287149503404235,-0.22909504058086327,-35899.34666906362
6,0,1600,2.1914967595664616,True,0.6546792984008789,199,2.1914967595664616,50,0.4,1.2,1.8,0.6,0.2,0.2601932976451248,3.262980694964932,7.16459831520376,0.32728461395603525,-0.2014720375973411,-3.8258032873272896e-05,-0.06709131631091048,-3.0294088351030126,-0.13519329764512478,-0.23176217831741547,-14511.475029032015
6,1,1601,2.1499955343160426,True,0.6716387271881104,199,2.1499955343160426,50,0.4,1.2,1.8,0.6,0.2,0.32952975213913355,2.4237567277496286,7.140574344557963,0.3295297809897706,-0.5287558898035059,-3.5696044571850507,-2.885063704605173e-08,-3.1131998634737315,-0.20452975213913355,-0.23170299576031794,-14884.042330804325
6,2,1602,2.0310326033466546,True,0.6643962860107422,197,2.0310326033466546,50,0.4,1.2,1.8,0.6,0.2,0.293722434786021,2.643619681276632,7.564386969483976,0.293723181736723,-1.5234847007850476,-12.184047192731668,-7.469507020130273e-07,-3.1970400502999468,-0.168722434786021,-0.23273308876196516,-9432.18333995164
6,3,1603,1.760349017331684,True,0.6489872932434082,197,1.760349017331684,50,0.4,1.2,1.8,0.6,0.2,0.18413535056458993,4.004570434754152,9.036623910486265,0.20572963977400838,9.999857866205275e-07,9.061695891432464e-07,-0.021594289209418444,-3.37542925635008,-0.059135350564589934,-0.23554032258452345,9.999885151046328e-07
6,4,1604,2.2181565261798255,True,0.6754970550537109,199,2.2181565261798255,50,0.4,1.2,1.8,0.6,0.2,0.31914316169473805,2.619477359649663,6.983740709793124,0.3444556340157068,-170.11334981292384,-0.015483887247683015,-0.025312472320968726,-3.048643418728352,-0.19414316169473805,-0.23128988393820163,-17457.811201438653
6,5,1605,1.8417210410165028,True,0.6669631004333496,199,1.8417210410165028,50,0.4,1.2,1.8,0.6,0.2,0.23847019384944268,3.09860686454316,8.39071523090708,0.23862387260805967,-0.017043210349584115,-0.1776548345660558,-0.00015367875861699298,-3.3344906375091012,-0.11347019384944268,-0.23442732362077323,-2906.3603202494196
6,6,1606,2.205304171883042,True,0.674858808517456,199,2.205304171883042,50,0.4,1.2,1.8,0.6,0.2,0.34644106281070264,2.333970666516017,6.963706965383269,0.34644585343410145,-0.0005619490675599081,-0.4877642304636538,-4.790623398809313e-06,-3.074822278414139,-0.22144106281070264,-0.23123635258749412,-17815.076363991444
6,7,1607,1.7396929844241693,True,0.6592812538146973,199,1.7396929844241693,50,0.4,1.2,1.8,0.6,0.2,0.19569516864190964,3.700350860831925,9.036623900039128,0.2057296402579637,9.9935095931869e-07,-3.0007140594534576e-07,-0.010034471616054058,-3.4020178687626323,-0.07069516864190964,-0.2355403225683882,-3.678248049254762e-05
6,8,1608,2.240436918249596,True,0.6715068817138672,199,2.240436918249596,50,0.4,1.2,1.8,0.6,0.2,0.3368982189635822,2.533081257516601,6.949680506598302,0.34784525714648745,-496.6866216007602,-0.44785500827129,-0.010947038182905267,-3.0470688428919814,-0.21189821896358219,-0.23119845712544065,-18068.139544532736
6,9,1609,2.28823878870179,True,0.667945384979248,199,2.28823878870179,50,0.4,1.2,1.8,0.6,0.2,0.3720285917520935,2.212310815873183,6.7198434791397865,0.3720412309919972,-2.624887547635808,-0.007310344630241161,-1.2639239903688981e-05,-3.01795669390929,-0.24702859175209352,-0.23055510738729568,-22704.106121669753
7,0,1700,2.4025295582615147,True,0.6503150463104248,0,2.4025295582615147,50,0.4,1.2,1.8,0.6,0.4,0.4034992664435887,2.0909972161817474,6.417902272927944,0.4078712391560679,-1.6107278497656807e-06,4.367211658973247e-07,-0.0043719727124791885,-2.9379091654213147,-0.2784992664435887,-0.22964028414397206,-30502.24174148882
7,1,1701,2.4232966437568,True,0.6621942520141602,199,2.4232966437568,50,0.4,1.2,1.8,0.6,0.4,0.31259429334388045,2.8740038765149274,6.454336957506255,0.4032793763382447,-0.00014567277321475558,-1.9037262973142788e-05,-0.09068508299436423,-2.8575371975099553,-0.18759429334388045,-0.22975521460313808,-29438.952693848543
7,2,1702,2.766210838645855,True,0.657141923904419,199,2.766210838645855,50,0.4,1.2,1.8,0.6,0.4,0.526332784827867,1.698253372559599,5.647973578140098,0.5266532860408163,-0.07353875070475624,-0.057286880484753055,-0.0003205012129492424,-2.7042498404447617,-0.40133278482786705,-0.2268649028996511,-64991.14650427952
7,3,1703,1.8136380665761274,True,0.6549499034881592,199,1.8136380665761274,50,0.4,1.2,1.8,0.6,0.4,0.22816828448353094,3.2177057460001786,8.544970973411328,0.23008493902990484,-0.032491010082594585,-0.006443778202083195,-0.0019166545463739082,-3.3538781594653293,-0.10316828448353094,-0.23470835781572377,-2084.4212516801326
7,4,1704,2.089513214824479,True,0.650853157043457,199,2.089513214824479,50,0.4,1.2,1.8,0.6,0.4,0.2831701956411994,3.2052153833448673,7.701872807330285,0.28322225615556573,-1699.3785857330458,-0.744695598987164,-5.206051436634773e-05,-3.1674981336033206,-0.15817019564119938,-0.2330348505652737,-8017.430478259974
7,5,1705,1.7704568643886098,True,0.6444172859191895,199,1.7704568643886098,50,0.4,1.2,1.8,0.6,0.4,0.21835619805860987,3.3174131136213885,8.771460771192219,0.21835694379347884,-9.900358563483678,-0.10888147231162293,-7.457348689676735e-07,-3.3877154993910015,-0.09335619805860987,-0.235103257503413,-1033.489434250837
7,6,1706,2.478358608314223,True,0.6429595947265625,199,2.478358608314223,50,0.4,1.2,1.8,0.6,0.4,0.28957216879747166,3.2147891618880005,6.380830088780651,0.41262441540513045,-0.011147964063638938,-5.148381387698464e-05,-0.12305224660765879,-2.791208024108537,-0.16457216879747166,-0.22952199562997674,-31623.04746034937
7,7,1707,2.0855045993380292,True,0.6480908393859863,199,2.0855045993380292,50,0.4,1.2,1.8,0.6,0.4,0.30966734089222536,2.544833709915375,7.3639592700333525,0.30980402950315683,-17.853750022328313,-0.0370227626117412,-0.000136688610931468,-3.158529333292382,-0.18466734089222536,-0.23225594403493008,-11755.195912222513
7,8,1708,1.8221510063905,True,0.6440727710723877,199,1.8221510063905,50,0.4,1.2,1.8,0.6,0.4,0.22368683907365872,3.3052198640969737,8.531440214148942,0.23081531432391167,-0.0035531558969523758,-0.0029059743355901446,-0.0071284752502529525,-3.343228320212516,-0.09868683907365872,-0.23468410365311707,-2152.834025331863
7,9,1709,1.7281356109279753,True,0.6592917442321777,199,1.7281356109279753,50,0.4,1.2,1.8,0.6,0.4,0.20356122912781577,3.5182818767563826,9.035335452437836,0.20578831925023158,-0.0006069053233659361,-4.639055623556487e-05,-0.0022270901224158146,-3.417652047394394,-0.07856122912781577,-0.23553826062657646,-4.572564034144307
8,0,1800,2.3148999292608967,True,0.6380228996276855,199,2.3148999292608967,50,0.4,1.2,1.8,0.6,0.6,0.34635209827041,2.4371843336704915,6.669601107244716,0.37766763808604775,-0.006034333771822276,-0.014621451300627086,-0.03131553981563773,-2.977464157419202,-0.22135209827041002,-0.2304086330080236,-23853.860834658266
8,1,1801,2.1062395042903845,True,0.6339998245239258,199,2.1062395042903845,50,0.4,1.2,1.8,0.6,0.6,0.27154355574690064,2.9951085380802542,7.376095464960504,0.3087850420563018,-0.004787343379575759,-0.00210849815630354,-0.03724148630940116,-3.114607527352609,-0.14654355574690064,-0.23228511844732672,-11601.929474174824
8,2,1802,1.9938288642626891,True,0.6245732307434082,199,1.9938288642626891,50,0.4,1.2,1.8,0.6,0.6,0.22215690029151466,3.6039523165534897,7.916370988074808,0.2680757795248684,-0.0003931708160962444,-0.039571543853526236,-0.04591887923335372,-3.1840394751864234,-0.09715690029151466,-0.23349414213817865,-6123.126007440102
8,3,1803,1.8044910124818556,True,0.641467809677124,199,1.8044910124818556,50,0.4,1.2,1.8,0.6,0.6,0.2279111891622168,3.208736809776587,8.584278427823719,0.22799476553544776,-4.178651222071494,-1.6015394693458802,-8.357637323094802e-05,-3.362182040550487,-0.10291118916221681,-0.23477918765437128,-1890.717033253689
